palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37,palabra_38,palabra_39,palabra_40,palabra_41,palabra_42,palabra_43,palabra_44,palabra_45,palabra_46,palabra_47,palabra_48,palabra_49,palabra_50
eres,todo,un,caballero,y,nos,enorgullecernos,por,decir,lindas,palabras,gracias,dios,te,bendiga,por,siempre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr,tuto,bolivia,merece,sufrir,por,qué,eligió,mal,ya,lo,dijo,maquiavélo,el,pueblo,siempre,elegirá,por,líder,al,más,tonto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,más,de,1,millón,de,compatriotas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolivia,no,está,preparada,para,un,gobierno,digno,y,de,altura,tuto,aquí,aman,la,miseria,y,el,victimismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,gracias,por,tanto,bolivia,se,perdio,una,gran,opcion,perdio,un,sr,un,caballero,una,persona,muy,capaz,con,experiencia,y,s,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,muchos,está,rota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gente,cojuda,ahora,sí,nos,iremos,en,picada,por,no,saber,pensar,ahora,si,sus,hijos,morirán,de,hambre,gente,sin,cerebro,tuto,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,lamentable,que,en,nuestro,país,predomine,la,ignorancia,y,solo,se,piense,en,intereses,personales,y,no,en,bolivia,ni,en,el,f,,,,,,,,,,,,,,,,,,,,,,,,,,
hubo,fraude,continúa,la,decadencia,otros,20,años,mi,país,no,merece,vivir,esa,realidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,tuto,quiroga,dios,nos,estaba,dando,la,oportunidad,de,salvar,a,bolivia,y,también,salvar,a,cada,familia,boliviana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tutito,la,mía,peor,excelente,personamerecías,ser,nuestro,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solo,los,busca,pegas,narcos,delincuentes,de,corbata,celebran,el,resultado,de,las,elecciones,duele,el,resultado,acabar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me,siento,igual,con,mi,alma,partida,y,mi,corazón,roto,gracias,tuto,por,permitirnos,soñar,con,una,bolivia,libre,con,progre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gracias,tuto,que,dios,te,bendiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,lamentable,muy,triste,murio,la,esperanza,para,el,pais,ahora,sera,otra,venezuela,eso,quieren,los,masistas,que,siguen,aho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eres,una,gran,persona,inteligente,además,conmucha,fortaleza,seguiremos,contigo,dios,te,bendiga,bolivia,te,necesita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,usted,ganó,con,nuestro,lo,apoyamos,por,una,bolivia,mejor,sabemos,que,fue,fraude,loque,se,viene,ahora,dios,tenga,miserico,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estamos,jodidos,se,perdió,la,oportunidad,de,cambiar,nuestro,pais,gracias,señor,quiroga,por,darnos,esperanza,de,tener,un,gran,país,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mejor,descanse,y,disfrute,de,su,matrimonio,don,tuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraude,descarado,del,tse,volcaron,los,datos,a,favor,del,pdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quede,tristesin,palabras,y,sin,poder,devolverme,a,mi,país,boliviaseguir,lejos,de,mi,familia,tenia,la,esperanza,de,volver,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,suciedad,nunca,se,gana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,pena,que,en,nuestra,amada,bolivia,haya,tanta,gente,ignorante,facil,de,manipular,y,ser,usada,por,los,corruptos,que,solo,qui,,,,,,,,,,,,,,,,,,,,,,,,,,,
hubo,fraude,tuto,que,reaccione,y,la,gente,le,seguirá,porque,no,podemos,permitir,que,los,delincuentes,masistas,sigan,en,el,gobierno,,,,,,,,,,,,,,,,,,,,,,,,,,,,
porque,esta,ganando,pdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,eres,un,caballero,que,dios,la,bendiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,ganamos,actúa,como,corina,de,venezuela,te,juro,que,ganamos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,pena,que,haya,otra,vez,fraudey,gane,la,ignorancia,masistay,la,angurria,de,poder,bolivia,estaba,agonizando,ahora,creo,qu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claro,como,ya,no,vasa,tener,este,sueldo,al,pedo,sin,hacer,nada,recibes,un,sueldo,vividor,de,miércoles,ahora,ojalá,si,trabajes,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,si,su,alma,está,partida,pero,más,sus,planes,de,robar,lo,poco,que,nos,queda,en,nuestra,amada,bolivia,a,correr,de,una,ratas,de,alcantarilla,,,,,,,,,,,,,,,,,,,,,,
lo,q,faltaba,q,gane,los,masistas,seguiremos,aguantando,estos,5,años,más,a,los,de,la,izquierda,segura,siendo,como,estaba,bolivi,,,,,,,,,,,,,,,,,,,,,,,,,,,
eso,te,pasa,por,pagar,a,los,encuestadores,y,a,la,tv,y,contratar,un,hombre,experto,en,guerra,sucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,es,fraude,fraude,debio,salir,tuto,y,doria,ahora,tambien,todo,pagado,por,los,masistas,el,pais,se,undira,mas,de,lo,que,est,,,,,,,,,,,,,,,,,,,,,,,,,
sr,tuto,entre,a,la,página,del,órgano,electoral,fue,fraude,ahí,están,los,resultados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gracias,por,la,lucha,sr,tuto,quiroga,hicimos,nuestra,parte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
por,q,no,pudiste,entrar,a,robarle,a,los,bolivianos,a,vender,el,país,no,veo,otra,razón,en,tu,gobierno,no,hiciste,nad,,,,,,,,,,,,,,,,,,,,,,,,,,
dejen,de,llorar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamás,ganará,ese,corrupto,solo,apoyaron,la,gente,sin,cerebro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,dólar,qué,suba,a,100,y,esa,gente,que,voto,por,pdc,saldrán,llorando,a,la,calles,qué,todo,está,caro,y,nos,les,alcanza,para,na,,,,,,,,,,,,,,,,,,,,,,
fuerza,ltuto,se,lo,que,quería,para,el,país,pero,jamás,debería,permitir,que,se,brinde,los,computo,por,el,tse,quiero,que,se,ex,,,,,,,,,,,,,,,,,,,,,,,,,
lamentablemente,perdiste,como,caballero,debes,retirarte,de,la,política,ya,has,muerto,lo,siento,mucho,sr,quiroga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sin,tuto,seguiremos,con,más,de,lo,mismo,q,triste,lo,q,le,toca,vivir,a,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,se,reniegue,dios,sabe,lo,que,hace,pero,todos,sabemos,que,hicieron,fraude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,prefiere,un,bono,a,un,trabajo,con,un,sueldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,estamos,contigo,y,sentimos,mucha,indignacion,tu,ganaste,seguro,hubo,fraude,no,hay,otra,explicación,por,favor,no,nos,aband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ganó,la,democracia,el,voto,popular,se,respeta,astuto,quiroga,es,de,la,vieja,escuela,y,bolivia,requiere,nuevos,líderes,y,con,visión,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,fruto,de,la,envidia,e,ignorancia,hacia,la,gente,preparada,es,notorio,una,pena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
