comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg,Catg  
Puro blabla oportunistas aparecen las ratas,80.0,80.0,10.0,10.0,10.0,10.0,73.5,-1.0,
Tuto presidente,10.0,10.0,10.0,10.0,80.0,10.0,35.0,0.0,
No saben como buscar popularidad estos rateros,80.0,80.0,10.0,10.0,10.0,10.0,73.5,-1.0,
TUTO PRESIDENTE!!!!,10.0,10.0,10.0,10.0,80.0,10.0,35.0,0.0,
Tuto Presidente,10.0,10.0,10.0,10.0,80.0,10.0,35.0,0.0,
TUTO PRESIDENTE!!!,10.0,10.0,10.0,10.0,80.0,10.0,35.0,0.0,
Tuto presidente 🇧🇴,10.0,10.0,10.0,10.0,80.0,10.0,35.0,0.0,
TUTO Presidente 🇧🇴🙌,10.0,10.0,80.0,10.0,10.0,10.0,52.5,0.0,
Paz presidente,10.0,10.0,50.0,10.0,10.0,10.0,48.0,0.0,
C.LARA y PAZ,10.0,10.0,50.0,10.0,10.0,10.0,48.0,0.0,
Tuto Presidente,0.0,0.0,0.0,0.0,5.0,0.0,39.5,0.0,
Tuto presidente,0.0,0.0,0.0,0.0,5.0,0.0,39.5,0.0,
Igual son los mejores,0.0,0.0,0.0,0.0,5.0,0.0,39.5,0.0,
No creo nada este tipo Abla contra riverzs propuestas son de mafias de apagar a bolivia son personas cruatas odia a los pobr… Ver más,60.0,70.0,30.0,10.0,20.0,10.0,68.5,-1.0,
Todo es politica no se dejen engañar con tuto lobos vestidos de ovejas no saven como llamar la tencion de la gente,70.0,80.0,30.0,5.0,5.0,0.0,76.5,-1.0,
Loque hace la política 😂,10.0,10.0,0.0,0.0,5.0,0.0,44.0,0.0,
Tuto presidente,0.0,0.0,0.0,0.0,5.0,0.0,39.5,0.0,
Los súbditos de SOROS haciendo campaña,80.0,80.0,10.0,0.0,0.0,0.0,77.5,-1.0,
Tuto presidente,0.0,0.0,0.0,0.0,5.0,0.0,39.5,0.0,
JP que devuelva la plata del banco facil,,,,,,,,,
TUTO PRESIDENTE,,,,,,,,,
Tuto Presidente,,,,,,,,,
Tuto presidente,,,,,,,,,
leonardo dicaprio bravo GIF,,,,,,,,,
"Excelente, ha sido ovasionado su participación en todo el trayecto valió la pena , todo Cocha es con TUTO y JP ….💪🏽💪🏽💪🏽💪🏽👏🏼👏🏼👏🏼🇧🇴🇧🇴🇧🇴",,,,,,,,,
tuto presidente 👆👆,,,,,,,,,
Dios te bendiga TuTu q bien lo hases respetuoso caballero,,,,,,,,,
"Solo en las ciudades estos pasean en sus autos de lujo, y no ganarán el pueblo necesita de su pueblo humilde con sentimiento h… Ver más",,,,,,,,,
"Teterí de estados unidos, nolo emporta el pais solo emporta saqueo y escapar.",,,,,,,,,
Es con TUTOyJP,,,,,,,,,
Tuto presidente 👏,,,,,,,,,
TUTO PRESIDENTE!!!!!,,,,,,,,,
TUTO PRESIDENTE 🇧🇴,,,,,,,,,
Igual mejor Rodrigo,,,,,,,,,
Tuto presidente,,,,,,,,,
TUTO PRESIDENTE ❤❤❤❤,,,,,,,,,
Tuto presidente,,,,,,,,,
Tuto presidente,,,,,,,,,
Tuto precidente,,,,,,,,,
Tuto Presidente,,,,,,,,,
Pero años anteriores brillaban por su ausencia,60.0,30.0,10.0,20.0,5.0,15.0,56.5,0.0,
Muy Bien TuTo seras el mejor presidente,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
Tuto 🇧🇴Presidente 🙌💪,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
Tuto y JP Presidente y Vice presidente de Bolivia 🇧🇴🇧🇴🇧🇴❤️,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
VENDE PATRIA TODA LA VIDA .,40.0,80.0,70.0,5.0,10.0,10.0,73.5,-1.0,
Gracias por el agua,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
Hdmptas,,,,,,,,,
Santa Tere madre ante todo quiero hablar,,,,,,,,,
"Única oportunidad, luego no se quejen que no podrán hacer nada ni abrir la boca para comer",80.0,70.0,30.0,5.0,10.0,15.0,75.0,-1.0,
Otro burro al coral 2025,80.0,70.0,30.0,5.0,10.0,15.0,75.0,-1.0,
Un payaso astuto cuando le conviene participar en aniversarios y entradas después lejos de Bolivia gastando si 7 millones de r… Ver más,80.0,70.0,30.0,5.0,10.0,15.0,75.0,-1.0,
Muy bie.TUTO.BAMOS.BENDICIONES,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
El kiko saluda y nadie le responde,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
"Entiendan algo, la política no te dara nada, a menos que publiques como este medio, tanto para derecha e izquierda, solo se ve… Ver más",60.0,10.0,30.0,5.0,10.0,15.0,58.0,0.0,
TUTO PRESIDENTE 👌🇧🇴🇧🇴🇧🇴,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
En cbba nadie lo conoce a estes vivientes 😅😃,80.0,70.0,30.0,5.0,10.0,15.0,75.0,-1.0,
"Todavía en Bolivia hay mucha ignorancia, y gente con mentes pero sin cerebros y voy a referirme a personas que sueñan con Elef… Ver más",85.0,90.0,20.0,5.0,5.0,5.0,80.25,-1.0,
TUTO PRESIDENTE,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
Prensa bendida,60.0,30.0,30.0,5.0,10.0,15.0,62.0,0.0,
JP VELASCO vicepresidente 🕊️,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
Ai algo que ni deben permitirle a tuto su vicepresidente tendría que ser un cruseño que mejor que medrano sería mucho mejo que… Ver más,80.0,70.0,20.0,5.0,10.0,15.0,73.5,-1.0,
Con que cara si a esa gente los dejo sin agua,80.0,70.0,20.0,5.0,5.0,5.0,75.0,-1.0,
TUTTO PRESIDENTE 🇧🇴🇧🇴✅,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
Al tutu no krean és on menteroso ladrun,80.0,70.0,20.0,5.0,10.0,15.0,73.5,-1.0,
TUTO y JP la esperanza de Bolivia,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
JP felicidades al Beni en su aniversario 😂,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
TUTO INTELIGENTE TUTO PRESIDENTE,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
TUTO PRESIDENTE 🇧🇴,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
Tuto presidente🇧🇴,60.0,5.0,30.0,30.0,40.0,5.0,50.0,0.0,
Igual perderán 😂😂😂😂,80.0,70.0,20.0,5.0,5.0,0.0,75.5,-1.0,
Los dos vividores del estado !!!!,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Porque Rodrigo y Lara no participan o creen que el pueblo de Cochabamba es parte de la élite de Bolivia.,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Qiqo no le llega ni a la rodilla a Mariano Melgarejo: tomar un balde de chicha punateña y una batea de chicharrón con harta llajua,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Los invitó Manfred?,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
A cochabanba no es vienvenido este ladron,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Típica campaña neoliberal vendepatria de derecha,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
TODOS con Jorge Tuto Quiroga Ramirez y JP,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Vividores de Bolivia,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Tuto a la berga,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
ES CON TU… Ver más,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
El mejor binomio TUTO y JP 🇧🇴 por una Bolivia libre y próspera !!!,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Futuros gobernantes Paz y Lara Binomio Ganador🌷👍👍👍👍👍🦾🦾🦾,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
TUTO PRESIDENTE DE BOLIVIA en la segunda vuelta,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Otro lary,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
TUTO PRESIDENTE DE BOLIVIA 🇧🇴,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Se juntaron unos cuantos de cuello blanco,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
100% de la gente grito x Tuto presidente 🇧🇴🇧🇴🇧🇴,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Estos figuretis en busca de votos jijiji igual perderan 😆,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
#TutoPresidente,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Paz-Lara el binomio del pueblo Rodrigo Paz Pereira presidente Senador Rodrigo Paz,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Lara Rodrigo presidente,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
🇧🇴 RODRIGO Y LARA 🇧🇴,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
Ben Yes GIF by Whisky.de,30.0,30.0,30.0,5.0,10.0,5.0,55.5,0.0,
Well Done Clapping GIF by MOODMAN,30.0,30.0,30.0,5.0,10.0,5.0,55.5,0.0,
Corazon Rosa GIF,30.0,30.0,30.0,5.0,10.0,5.0,55.5,0.0,
Walter Sanchez,30.0,30.0,30.0,5.0,10.0,5.0,55.5,0.0,
🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡,80.0,70.0,30.0,5.0,10.0,5.0,76.0,-1.0,
"El GIF  puede contener hahahahah, gahahahaha, haha, ha, fun, funny, silly, idiot, idiotic, laugh, lol, lmao, lmfao, x D, joke, kidding, just y jk",0.0,0.0,0.0,0.0,5.0,0.0,39.5,0.0,
"El GIF  puede contener laugh out loud, laugh, ridiculous, hilarious, lolz, lol y hahahaha",0.0,0.0,0.0,0.0,5.0,0.0,39.5,0.0,
Laugh Lol GIF by Dominicana's Got Talent,0.0,0.0,0.0,0.0,5.0,0.0,39.5,0.0,
Tuto Presidente🇧🇴🇧🇴🇧🇴💪💪💪🙏🙏🙏,0.0,0.0,10.0,5.0,15.0,0.0,39.0,0.0,
Ramiro Parra,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,
#TutoPresidente,0.0,0.0,5.0,5.0,10.0,0.0,38.75,0.0,
Animated GIF,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,
TUTO PRESIDENTE.!!!!🙏🇧🇴🙏🇧🇴🙏🇧🇴🙏,0.0,0.0,5.0,0.0,10.0,0.0,39.75,0.0,
Tuto Presidente 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,0.0,0.0,5.0,0.0,10.0,0.0,39.75,0.0,
Vamos. Tuto.,0.0,0.0,5.0,0.0,10.0,0.0,39.75,0.0,
Monica HA,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,
Tutopresidente viva Bolivia libre,0.0,0.0,50.0,0.0,10.0,0.0,46.5,0.0,
Tuto Presidente de Bolivia,0.0,0.0,50.0,0.0,10.0,0.0,46.5,0.0,
JP VICEPRESIDENTE!!!,0.0,0.0,50.0,0.0,10.0,0.0,46.5,0.0,
"QUE TRISTE, REALMENTE POR ESTOS SEÑORES QUE VIVEN DE NUESTRA POBRE BOLIVIA Y VAN COMO SI FUERAN BLANCAS PALOMITAS.",0.0,80.0,80.0,0.0,0.0,0.0,68.0,-1.0,
Tuto presidente ❤️💙,0.0,0.0,50.0,0.0,10.0,0.0,46.5,0.0,
Es con Tuto presidente por una Bolivia productiva,0.0,0.0,50.0,0.0,10.0,0.0,46.5,0.0,
Paz y Lara futuros gobernantes.,0.0,0.0,60.0,0.0,5.0,0.0,48.5,0.0,
Lára pres.,0.0,0.0,60.0,0.0,5.0,0.0,48.5,0.0,
Esperando que le saluden🤣 y otros lo ignoran 🤣🤣🤣🤣,0.0,80.0,80.0,0.0,0.0,0.0,68.0,-1.0,
Rata oportunista remedo del Goni privatizador y endeudador de Bolivia total terminando tu gestión te escaparás a Estados Unido… Ver más,80.0,80.0,80.0,0.0,0.0,0.0,88.0,-1.0,
Tuto presidente,0.0,0.0,5.0,0.0,10.0,0.0,39.75,0.0,
Se ban ala mier.a par de bende pstrias que ya fueron a negosiar el Litio,80.0,80.0,30.0,0.0,0.0,0.0,80.5,-1.0,
El pueblo de Cochabamba está con Rodrigo y Lara,0.0,0.0,60.0,0.0,5.0,0.0,48.5,0.0,
JP y ‎TUTOOOOOO 🇵 🇷 🇪 🇸 🇮 🇩 🇪 🇳 🇹 🇪❤️💛💚 👍👍👍,0.0,0.0,50.0,0.0,10.0,0.0,46.5,0.0,
🤡🤡,0.0,80.0,0.0,0.0,0.0,0.0,56.0,0.0,
Ya se dió cuenta que la propuesta de Tuto de buscar financiamiento externo de organismos internacionales es el inicio de la estabilidad financiera del país.,0.0,0.0,60.0,0.0,5.0,0.0,48.5,0.0,
Irá pero como son humildes no tendrá para el pasaje de regreso,80.0,30.0,0.0,0.0,0.0,0.0,66.0,0.0,
"Si ni en Bolivia lo conocen, peor en el exterior... Además a qué va a ir a Estados Unidos, no creo que lo quieran allá, si a la ficha de su padre le quitaron su visa por estar de amigo de los narcotraficantes",80.0,30.0,0.0,0.0,0.0,0.0,66.0,0.0,
"En EEUU no los quieren a los de IZQUIERDA, andá a Cuba Venezuela ,Nicaragua, Rusia Iran ,ahí te pueden recibir",0.0,80.0,60.0,0.0,0.0,0.0,65.0,0.0,
Rodrigo y Lara presidente hasta la victoria siempre,0.0,0.0,60.0,0.0,5.0,0.0,48.5,0.0,
Cómo pues quiere ir al imperio ....del que tanto hablan y desprecian inversionistas para que si no sabe que es lo que necesita el pais....,40.0,60.0,70.0,0.0,0.0,0.0,72.5,-1.0,
"SUS ASESORES QUE LE DIGAN QUE NO VAYA, PORQUE VA IR A PASAR VERGUENZA, IGNORA LO QUE EL PAIS NECESITA, NO SABE CUALES SON LAS NECESIDADES.",60.0,70.0,70.0,0.0,0.0,0.0,79.5,-1.0,
"De vacaciones con la familia y con el dinero de todos los Bolivianos, siempre fue un vividor desde la cuna este español.",80.0,75.0,60.0,5.0,0.0,5.0,82.5,-1.0,
"Que no les mientan: cuando un candidato va al exterior a pedir dinero, los organismos internacionales como el BID, la CAF o el Banco Mundial le exigen proyectos serios, transparencia y garantías. No existe dinero fácil ni cheques en blanco. Si alguien promete eso, está manipulando a la gente.",65.0,20.0,80.0,70.0,10.0,40.0,53.25,0.0,
Que empresario va a querer hacer negocios con alguien que quiere legalizar a los contrabandistas que ingresan vehiculos ilegales y roba dos al pais…. Por favor…..,80.0,80.0,70.0,5.0,0.0,0.0,85.5,-1.0,
Ya da pena este personaje,90.0,85.0,0.0,0.0,0.0,0.0,79.5,-1.0,
Animated GIF,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,
Por que no viaja a los países Socialista China A Rusia a Irak,,,,,,,,,
DEBERIA IR A COREA DEL NORTE PARA TRAER INBERCION EXTRANJERA,85.0,85.0,50.0,0.0,0.0,0.0,85.75,-1.0,
"Se está yendo de vacaciones, pero está diciendo que va a buscar inversores, porque el es de izquierda y está contra el imperio yanki",70.0,80.0,30.0,5.0,0.0,0.0,77.0,-1.0,
"Este ya se pasa de copiota 😡😡🤔🤨🙄🙄y como cerrar acuerdos q payaso 🤡 😒 😡 🤦 eres paz, tu dignidad ya no tienes ...quieres hacer tood lo q tuto hace osea paz nex no sabez ....",90.0,85.0,0.0,0.0,0.0,0.0,79.5,-1.0,
"El camino qué abre Tuto es el qué imita Paz, no tiene plan de gobierno",30.0,30.0,60.0,10.0,0.0,0.0,60.5,0.0,
Tiene que ir al Cuba o Venezuela a buscar ayuda. Si en Estados unidos no quieren a los de izquierda. O que se vuelva a España y no regrese,80.0,85.0,60.0,0.0,0.0,0.0,86.0,-1.0,
"Jajajajajajajaja, si nosotros no lo conocemos, peor pj en otros países 🙄😒😅😅😅",90.0,85.0,50.0,0.0,0.0,0.0,87.0,-1.0,
PARECE YONNY FERNANDEZ ‼️‼️‼️‼️‼️‼️,80.0,70.0,50.0,5.0,0.0,0.0,80.5,-1.0,
"No, que no quería nada de los gringos 😆",90.0,75.0,50.0,5.0,0.0,0.0,84.0,-1.0,
Ajjajajaja ni siquiera es presi,20.0,50.0,50.0,10.0,0.0,0.0,60.5,0.0,
Tuto presidente,20.0,85.0,60.0,0.0,0.0,0.0,71.0,-1.0,
ahora digan q fue a vendernos pues 😂,70.0,85.0,0.0,0.0,0.0,0.0,74.5,-1.0,
Mientras tanto el país tiene que pagarle sueldo de no trabajar a este inepto 😡😡😡,90.0,85.0,0.0,0.0,0.0,0.0,79.5,-1.0,
Que se baya y no vuelva,90.0,85.0,0.0,0.0,0.0,0.0,79.5,-1.0,
En vano porq no quieren saber de los masitas tendrías q ir a los países socialistas,90.0,85.0,0.0,0.0,0.0,0.0,79.5,-1.0,
Después critican aTuto,15.0,25.0,40.0,5.0,5.0,5.0,52.75,0.0,
Da rabia ….como estos infelices confabulan contra El Imperio pero les encantan las bondades que tienen los mismos 😡😡😡😡,90.0,85.0,50.0,5.0,0.0,0.0,86.0,-1.0,
"El GIF Scared Chapulin Colorado GIF by Grupo Chespirito puede contener scared, chespirito, chapolin, chapulin, chapulin colorado, chapolin colorado, chapulincolorado y chapolincolorado",0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,
El que no va mendigar dinero… a los gringos sin vergüenza,,,,,,,,,
Pero después en sus discursos salen que odian al imperio,90.0,85.0,0.0,0.0,0.0,0.0,79.5,-1.0,
Copiando copiando... este tipo no tiene propuestas serias... que pena que este en segunda vuelta... Es con TUTO...,90.0,80.0,50.0,5.0,0.0,0.0,85.0,-1.0,
Ese no atrae ni moscas .Ni programa tiene .Y todavía de izquierda pidiendo a la derecha .Que incoherente.,90.0,85.0,0.0,0.0,0.0,0.0,79.5,-1.0,
"Que lo lleve a LARA o no confia en el ?, a todas las reuniones va solo sin su Vice, que fue le da vergüenza o tiene miedo que hable lareses.",90.0,85.0,0.0,0.0,0.0,0.0,79.5,-1.0,
Quiere atraer votos con acciones copiadas sin tener la iniciativa como todo populista barato 🤦🏻‍♂️,90.0,85.0,50.0,5.0,0.0,0.0,86.0,-1.0,
"Y quién le va dar la hora a este tipo, con los antecedentes de su padre y los narcovincul0s... 💩💩",90.0,85.0,0.0,0.0,0.0,0.0,79.5,-1.0,
este zurdo es un payaso,90.0,90.0,10.0,5.0,5.0,5.0,80.0,-1.0,
"No que según Lara , Paz no tenía plata que son pobres 😂",60.0,70.0,30.0,5.0,5.0,5.0,71.5,-1.0,
"Quién le estará financiando su viajecito, porque nove que no tenían plata para su campaña... Y seguro que no irá sólo... Pero Irá sin Lara, ya que este tiene orden de arraigo... Medio raro está esto...",85.0,80.0,20.0,5.0,5.0,5.0,78.25,-1.0,
"Bajate de la candidatura, aprovechado demagogo, no ofrezcas bonos de donde va salir el dinero estamos en crisis economica",90.0,90.0,10.0,5.0,5.0,5.0,80.0,-1.0,
Monigote!!!!! 🤣🤣🤣🤣🤣🤣,90.0,90.0,10.0,5.0,5.0,5.0,80.0,-1.0,
Y Lara copiando a JP 😆😆😆,60.0,30.0,20.0,5.0,5.0,5.0,62.0,0.0,
Que viaje a Cuba Venezuela y Guatemala a traer empresarios inversores,50.0,50.0,50.0,5.0,5.0,5.0,68.0,-1.0,
"AHÍ ESTÁ LA DIFERENCIA, EL EMPRESARIO TE DA PERO NO PIERDE DINERO EN CAMBIO EL FINANCIERO TE DA, CONTROLA LOS GASTOS, TE NEGOCIA PLAZOS DE GRACIA, TE NEGOCIO PAGO DE INTERESES CONVENIENTES.",5.0,5.0,5.0,80.0,5.0,5.0,26.0,1.0,
Viaje a los países asiaticos,5.0,5.0,5.0,60.0,5.0,5.0,30.0,1.0,
No que no.queria nada con los gringos? Ahora cambio de opinión como su vice lari,70.0,70.0,50.0,10.0,5.0,5.0,76.0,-1.0,
Paz y lara son politiqueros populistas 👎👎👎,20.0,80.0,5.0,5.0,5.0,5.0,59.75,0.0,
otra que va pedir prestamo fatal deoda esta bolivia,70.0,80.0,50.0,5.0,5.0,5.0,79.0,-1.0,
Ahora que pida kermes como Luis arce para viajar 😂😂 después su hijo va tener tierras millonarias igual que el tilín.,90.0,90.0,5.0,5.0,5.0,5.0,79.25,-1.0,
Con los gringos de EEUU????,90.0,80.0,50.0,5.0,5.0,5.0,84.0,-1.0,
"Sixto como q hasta la victoria, no cuentes victoria estás lejooooooooo Tuto el futuro PRESIDENTE deja de Lara Rodrigo no te equivoques.",90.0,90.0,10.0,5.0,5.0,5.0,80.0,-1.0,
Si es que gana,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,
"Llevará al capitán general de la Asamblea asumo. Es una reunión importante, debería ir su vicepresidenciable como fue a Palacio con su reunión con Arce.",10.0,10.0,10.0,50.0,10.0,10.0,34.0,0.0,
Que no vuelva,90.0,90.0,0.0,0.0,0.0,0.0,80.5,-1.0,
"Osea con los gringos no ve??, Este Sr no tiene plan económico. Veo q anda copiando ideas. A @Ramiro Cavero no devele todo el plan económico, le harán copy paste. @Caepalenque",90.0,90.0,5.0,5.0,0.0,5.0,79.75,-1.0,
Y quien invertira en un país donde legalizan autos robados??? Donde el posible vicepresidente hace un llamado al alsamiento popular si pierde la elecciones... es bruto no hay otra explicación,90.0,90.0,5.0,0.0,0.0,5.0,80.75,-1.0,
"Ningún empresario serio,se reunirá con el gallito que quiere legalizar movilidades robadas.",90.0,90.0,0.0,0.0,0.0,5.0,80.0,-1.0,
Va a vendernos a los gringos pero realmente para mal. Este tipo no tiene escrúpulos,90.0,90.0,0.0,0.0,0.0,5.0,80.0,-1.0,
Tuto presidente!!!,10.0,10.0,10.0,10.0,10.0,10.0,42.0,0.0,
Copio de Tuto,5.0,5.0,5.0,0.0,0.0,0.0,43.0,0.0,
Que les va a ofrecer?,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
Que es ya se cree presidente o que 👀,20.0,20.0,5.0,5.0,5.0,5.0,47.75,0.0,
Esta perdido sin propuestas,20.0,20.0,5.0,5.0,5.0,5.0,47.75,0.0,
"Los dos a vender el país,nada nuevo",0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,
Este tipo ya se siente presidente ojalá no haya sorpresas sucias,90.0,90.0,5.0,5.0,5.0,5.0,79.25,-1.0,
Pero no tienen plata🙄,90.0,90.0,5.0,5.0,5.0,5.0,79.25,-1.0,
Evo y Lara usan la misma estrategia el mismo discurso de odio y de victimizarse,70.0,65.0,85.0,15.0,10.0,10.0,78.25,-1.0,
"JAMÁS PUEDEN SER IGUALES LARA ES DE PROFESIÓN ABOGADO, Y EVO ES UN CAMPESINO QUE NO HABLA AYMARA.",65.0,60.0,80.0,20.0,15.0,15.0,73.25,-1.0,
"Claro son diferentes evo es pedófilo y lara no, pero en sus discursos son iguales.",70.0,65.0,85.0,15.0,10.0,10.0,78.25,-1.0,
Evo es un antisocial,75.0,70.0,80.0,10.0,10.0,10.0,80.75,-1.0,
La misma 💩,80.0,75.0,85.0,10.0,10.0,10.0,83.75,-1.0,
Parecen gemelos a los 2 se les movió la teja y más cínicos,70.0,65.0,80.0,15.0,10.0,10.0,77.5,-1.0,
Si los dos son masistas jajaja,65.0,60.0,75.0,20.0,15.0,15.0,72.5,-1.0,
Tienen el mismo discurso...,60.0,55.0,70.0,25.0,20.0,20.0,67.5,-1.0,
Ellos no son del MAS son los NULOS,55.0,50.0,65.0,30.0,25.0,25.0,62.5,0.0,
Son la misma 💩💩💩💩,80.0,75.0,85.0,10.0,10.0,10.0,83.75,-1.0,
Jajaja se parecen,60.0,55.0,70.0,25.0,20.0,20.0,67.5,-1.0,
Pero...son iguales 😉,60.0,55.0,70.0,25.0,20.0,20.0,67.5,-1.0,
Comunista a la cárcel y punto,75.0,70.0,85.0,10.0,10.0,10.0,81.5,-1.0,
"Son.lo mismo,.solo que lara version blanco",65.0,60.0,80.0,15.0,10.0,10.0,75.25,-1.0,
Jaja cuánta sabiduría loza a tu jefecito nadie le gana.,10.0,5.0,50.0,85.0,80.0,80.0,18.0,1.0,
Ambos viven en la misma ignorancia que no ven la realidad de NUETRA AMADA BOLIVIA,15.0,10.0,50.0,80.0,75.0,75.0,22.25,1.0,
Claro que no se parecen evo quebró Bolivia...,65.0,60.0,85.0,15.0,10.0,10.0,76.0,-1.0,
Pero que de bueno iso Evo jajajaja,45.0,40.0,60.0,35.0,30.0,30.0,55.25,0.0,
"PERO SI SON IDÉNTICOS, PARECEN CLONADOS",70.0,65.0,85.0,15.0,10.0,10.0,78.25,-1.0,
Raro que no esté saliendo Evo diciéndo 😵‍💫 voto Nolo,55.0,50.0,75.0,25.0,20.0,20.0,66.0,0.0,
Claro Evo es más experto en corrupción Pero no le falta mucho a Lara de ser su pupilo,60.0,55.0,75.0,25.0,20.0,20.0,68.25,-1.0,
Nadie no podrán igualarse al Evo el Evo ha sido mejor presidente de Bolivia...,50.0,45.0,65.0,30.0,25.0,25.0,60.25,0.0,
Tampoco hay por qué nombrar a un enfermo,55.0,50.0,70.0,25.0,20.0,20.0,65.25,0.0,
Que le molesta a este sr.loza si no es igual por que habla su conciencia no le deja dormir,15.0,10.0,55.0,75.0,70.0,70.0,25.0,1.0,
Igual las ratas masistas van a votar por el PDC,75.0,70.0,85.0,10.0,10.0,10.0,81.5,-1.0,
Son iguales en lo atrevidos qué son! En que son hechos a los humildes...,65.0,60.0,80.0,15.0,10.0,10.0,75.25,-1.0,
Vamos ...Paz y Lara...💚💛❤️,10.0,5.0,50.0,80.0,75.0,75.0,20.0,1.0,
Los dos son recorosos,70.0,65.0,75.0,20.0,15.0,15.0,74.75,-1.0,
PAZ Y LARA PRESIDENTE DE BOLIVIAAAAAAA!!!,10.0,5.0,55.0,85.0,80.0,80.0,18.75,1.0,
Si no sirven para nada los dos,70.0,65.0,80.0,15.0,10.0,10.0,77.5,-1.0,
No lo sé Rick parece falso,50.0,45.0,65.0,30.0,25.0,25.0,60.25,0.0,
Es Masista el Lara y punto repite como loro 🦜...,75.0,70.0,85.0,10.0,10.0,10.0,81.5,-1.0,
Jajaja....LARA = EVO,70.0,65.0,85.0,15.0,10.0,10.0,78.25,-1.0,
Jamas,50.0,45.0,60.0,35.0,30.0,30.0,57.5,0.0,
"Si como no, y lo que dice los masistas y Lara nosotros le creemos...",55.0,50.0,70.0,30.0,25.0,25.0,63.25,0.0,
Ambos locos por poder......,70.0,65.0,80.0,15.0,10.0,10.0,77.5,-1.0,
Bien gracias por información Leonardo,10.0,5.0,50.0,80.0,75.0,75.0,20.0,1.0,
Son igualitos,65.0,60.0,75.0,20.0,15.0,15.0,72.5,-1.0,
Son la misma mmmmmmmm.!!,80.0,75.0,85.0,10.0,10.0,10.0,83.75,-1.0,
Es mejor ho duele,15.0,10.0,50.0,75.0,70.0,70.0,24.25,1.0,
Losa deja pue que se defienda tu hombre carajo...,70.0,65.0,85.0,15.0,10.0,10.0,78.25,-1.0,
Este si es un inepto y OPA igual que Lari.,75.0,70.0,85.0,10.0,10.0,10.0,81.5,-1.0,
Si son la misma rata asqierosa,80.0,75.0,85.0,10.0,10.0,10.0,83.75,-1.0,
Ignorancia,60.0,55.0,70.0,25.0,20.0,20.0,67.5,-1.0,
Claro está lejos por ahora evo es violador a niñas,85.0,80.0,90.0,10.0,10.0,10.0,86.75,-1.0,
Obviamente no hay comparación Evo es un pedófilo,85.0,80.0,90.0,10.0,10.0,10.0,86.75,-1.0,
No aceptan la realidad.,50.0,45.0,65.0,30.0,25.0,25.0,60.25,0.0,
